title,NER,ingredients
Mexican Casserole,"[""cream of chicken soup"", ""onion"", ""mushroom soup"", ""cheese"", ""milk"", ""ground beef"", ""fritos""]","[""Fritos or Doritos"", ""1 lb. ground beef"", ""1 onion"", ""1 can rotel"", ""1 can mushroom soup"", ""1 can cream of chicken soup"", ""1 (12 oz.) can pet milk (can use fat free)"", ""Grated cheese""]"
Spaghetti Salad,"[""spaghetti"", ""salad supreme"", ""tomatoes"", ""cucumbers"", ""stalks celery"", ""italian salad dressing"", ""onions"", ""green pepper""]","[""1 lb. spaghetti"", ""3 cucumbers"", ""diced"", ""4 tomatoes"", ""diced"", ""2 stalks celery"", ""diced"", ""1 green pepper"", ""diced"", ""2 onions"", ""diced"", ""1 small bottle Wish-Bone Italian salad dressing"", ""1/2 bottle Salad Supreme""]"
Fried Onion Rings,"[""oil"", ""egg"", ""baking powder"", ""lemon juice"", ""cayenne pepper"", ""sweet onions"", ""water"", ""flour"", ""vegetable oil"", ""salt""]","[""2 large sweet onions"", ""1 egg"", ""2/3 c. water"", ""1 Tbsp. vegetable oil"", ""1 tsp. lemon juice"", ""1 c. all-purpose flour"", ""1 1/2 tsp. baking powder"", ""1 to 1 1/4 tsp. salt"", ""1/8 to 1/4 cayenne pepper"", ""oil (for deep-fat frying)""]"
Cheeseburger Loaf,"[""american cheese"", ""egg"", ""onion"", ""ground chuck"", ""cracker crumbs"", ""milk"", ""ketchup"", ""dry mustard"", ""salt""]","[""1/2 c. evaporated milk"", ""1 egg"", ""1 c. cracker crumbs"", ""1 1/2 lb. ground chuck"", ""4 Tbsp. finely chopped onion"", ""1 1/2 tsp. salt or to taste"", ""1 tsp. dry mustard"", ""1 Tbsp. ketchup"", ""1 c. grated American cheese""]"
Ranch Style Baked Beans Casserole,"[""kidney beans"", ""vinegar"", ""water"", ""catsup"", ""pork"", ""margarine"", ""ground beef"", ""onion soup mix"", ""mustard""]","[""2 Tbsp. margarine"", ""1 lb. ground beef"", ""1 pkg. onion soup mix"", ""1/2 c. water"", ""1 c. catsup"", ""2 Tbsp. prepared mustard"", ""2 tsp. vinegar"", ""2 (1 lb.) cans pork and beans in tomato sauce"", ""1 (1 lb.) can kidney beans"", ""drained""]"
Baked Spaghetti,"[""mushroom stems"", ""oregano"", ""condensed cream"", ""tomatoes"", ""cheddar cheese"", ""parmesan cheese"", ""onion"", ""water"", ""olives"", ""butter"", ""green pepper"", ""ground beef""]","[""1 c. chopped onion"", ""1 c. chopped green pepper"", ""1 Tbsp. butter"", ""1 (28 oz.) can tomatoes with liquid"", ""cut up"", ""1 (4 oz.) can mushroom stems and pieces"", ""drained"", ""1 (2 1/4 oz.) can sliced ripe olives"", ""drained"", ""2 tsp. dried oregano"", ""1 lb. ground beef"", ""browned and drained (optional)"", ""12 oz. spaghetti"", ""cooked and drained"", ""2 c. (8 oz.) shredded Cheddar cheese"", ""1 (10 3/4 oz.) can condensed cream of mushroom soup (undiluted)"", ""1/4 c. water"", ""1/4 c. grated Parmesan cheese""]"
Enchiladas,"[""tomato paste"", ""green onions"", ""chili powder"", ""lean ground beef"", ""water"", ""shredded monterey jack cheese"", ""corn tortillas"", ""garlic""]","[""1 (12 oz.) can tomato paste"", ""1 qt. water"", ""2 cloves garlic"", ""minced"", ""5 tsp. chili powder"", ""1 lb. lean ground beef"", ""1/2 c. chopped green onions"", ""2 c. shredded Monterey Jack cheese"", ""1 doz. corn tortillas""]"
Brunswick Stew,"[""potatoes"", ""corn"", ""tomatoes"", ""onion"", ""water"", ""frozen limas"", ""butter"", ""chicken"", ""salt""]","[""1 (2 lb.) chicken"", ""3 c. water"", ""1 1/2 tsp. salt"", ""3 potatoes"", ""1 onion"", ""1 (10 oz.) box frozen limas"", ""1 c. frozen or 1 can corn"", ""1 can tomatoes"", ""salt and pepper to taste"", ""1/4 c. butter""]"
Marinated Carrots,"[""vinegar"", ""sugar"", ""pepper"", ""salad oil"", ""onion"", ""tomato soup"", ""carrots"", ""salt""]","[""2 lb. carrots"", ""cut in diagonal slices"", ""1 large onion"", ""sliced in rings"", ""1 (10 oz.) can tomato soup"", ""undiluted"", ""1/2 tsp. salt"", ""1/2 tsp. pepper"", ""1 c. sugar"", ""1/2 c. salad oil"", ""3/4 c. vinegar""]"
Summer Squash Casserole,"[""cream of chicken soup"", ""sour cream"", ""stuffing mix"", ""onion"", ""butter""]","[""6 c. sliced yellow squash"", ""1 c. finely chopped onion"", ""1 can cream of chicken soup"", ""8 oz. sour cream"", ""8 oz. pkg. stuffing mix"", ""1 stick butter""]"
Mushroom Caps Stuffed,"[""mozzarella cheese"", ""mushrooms"", ""bread crumbs"", ""sweet sausage""]","[""20 to 24 white large mushrooms"", ""cut off stems and hollow out carefully"", ""reserving stems"", ""1 lb. sweet sausage"", ""3/4 c. Mozzarella cheese"", ""1/2 c. seasoned bread crumbs""]"
Toffee Brickle,"[""brown sugar"", ""unsalted soda crackers"", ""butter"", ""chocolate chips""]","[""unsalted soda crackers"", ""3/4 c. packed brown sugar"", ""2 sticks butter"", ""12 oz. bag chocolate chips""]"
Stir Fried Veggies Medley,"[""sugar"", ""salt"", ""pepper"", ""mushrooms"", ""water"", ""salad"", ""broccoli"", ""onions"", ""carrots"", ""celery stalks""]","[""2 medium carrots"", ""2 celery stalks"", ""1 medium or 2 small onions"", ""1 medium bunch broccoli"", ""1/2 lb. mushrooms"", ""1/4 c. salad or olive oil"", ""1/4 c. water"", ""1 1/4 tsp. salt"", ""1/2 tsp. pepper"", ""1 level tsp. sugar""]"
Bacon And Egg Breakfast Bake,"[""fully cooked canadian bacon"", ""pepper"", ""eggs"", ""milk"", ""muenster""]","[""4 oz. fully cooked Canadian bacon or ham"", ""cut into small cubes"", ""1/2 c. finely chopped Muenster"", ""Cheddar or Monterey Jack cheese"", ""4 eggs"", ""1 1/2 c. skim milk"", ""1/2 tsp. pepper""]"
Baked Bean Casserole,"[""vinegar"", ""regular"", ""black pepper"", ""garlic salt"", ""brown sugar"", ""catsup"", ""pork"", ""onions"", ""beans"", ""dry mustard"", ""bacon drippings"", ""salt""]","[""4 Tbsp. bacon drippings"", ""3 Tbsp. garlic salt"", ""3 medium onions"", ""sliced"", ""1 large can pork and beans"", ""1 regular can red kidney beans"", ""1 can small green lima beans"", ""1/2 c. catsup"", ""1 tsp. dry mustard"", ""1/2 tsp. black pepper"", ""1 tsp. salt"", ""1/2 c. brown sugar"", ""1/4 c. vinegar""]"
Fried Rice,"[""soy sauce"", ""salad oil"", ""eggs"", ""mushrooms"", ""onions"", ""rice"", ""green pepper""]","[""1/4 c. onions"", ""chopped"", ""2 Tbsp. green pepper"", ""chopped"", ""2 Tbsp. salad oil"", ""2 c. cooked rice"", ""3 oz. sliced mushrooms"", ""2 Tbsp. soy sauce"", ""3 eggs"", ""beaten""]"
Speedy Little Devils,"[""cake mix"", ""oleo"", ""marshmallow cream"", ""peanut butter""]","[""1 devil's food cake mix"", ""3/4 c. peanut butter"", ""1 stick oleo"", ""melted"", ""1 (7 oz.) jar marshmallow cream""]"
Harvard Beets,"[""vinegar"", ""pepper"", ""brown sugar"", ""ground cloves"", ""flour"", ""boiling water"", ""butter"", ""salt""]","[""2 Tbsp. butter or margarine"", ""2 Tbsp. flour"", ""1/4 c. boiling water"", ""1/4 c. vinegar"", ""1/3 c. brown sugar"", ""1/2 tsp. salt"", ""1/8 tsp. pepper"", ""1/8 tsp. ground cloves"", ""2 1/2 c. diced"", ""cooked beets""]"
Easy Cranberry Relish,"[""fresh cranberries"", ""orange"", ""sugar"", ""walnuts""]","[""2 small pkg. fresh cranberries"", ""1 c. sugar (or more if you like)"", ""1 whole orange"", ""walnuts""]"
Taco Soup,"[""kidney beans"", ""tomatoes"", ""taco"", ""onion"", ""butter beans"", ""tomato juice"", ""hamburger"", ""tomato sauce""]","[""1 lb. hamburger"", ""1 onion"", ""chopped"", ""1/2 pkg. dry taco seasoning"", ""1 can kidney beans"", ""1 can butter beans"", ""1 can tomatoes"", ""1 small can tomato sauce"", ""1 (12 oz.) can tomato juice or V-8 juice""]"
Oriental Tossed Salad,"[""oil"", ""red wine vinegar"", ""sugar"", ""ramen noodles"", ""soy sauce"", ""romaine lettuce"", ""broccoli florets"", ""green onion"", ""walnuts""]","[""3/4 c. sugar"", ""1/2 c. red wine vinegar"", ""1 c. oil"", ""3 Tbsp. soy sauce"", ""2 pkg. Ramen noodles"", ""crushed"", ""1 c. chopped walnuts"", ""1 bunch chopped green onion"", ""1 bunch broccoli florets"", ""2 pkg. romaine lettuce""]"
Mayonnaise,"[""oil"", ""lemon"", ""honey"", ""egg yolk""]","[""1 pt. oil"", ""juice of 1/2 lemon"", ""1 egg yolk"", ""1 tsp. honey""]"
Brown Rice Pizza(Light)  ,"[""egg"", ""oregano"", ""mozzarella cheese"", ""mushrooms"", ""onion"", ""broccoli flowerets"", ""brown rice"", ""zucchini"", ""tomato sauce""]","[""1 1/2 c. cooked brown rice (without salt or fat)"", ""1 1/2 c. (6 oz.) shredded part skim milk Mozzarella cheese"", ""divided"", ""1 egg"", ""beaten (I use Second Nature)"", ""1 tsp. oregano"", ""divided"", ""Pam"", ""1 c. broccoli flowerets"", ""1 c. sliced zucchini"", ""1 c. sliced fresh mushrooms"", ""1 small onion"", ""sliced"", ""8 oz. can tomato sauce (no salt)""]"
Chicken Over Rice,"[""potatoes"", ""soy sauce"", ""bell peppers"", ""onion"", ""celery"", ""chicken broth""]","[""1 chopped onion"", ""2 chopped bell peppers"", ""1/2 bunch celery"", ""1 can chicken broth"", ""2 chopped potatoes"", ""little soy sauce and cornstarch""]"
Meatball Chop Suey,"[""mushroom stems"", ""egg"", ""pepper"", ""soy sauce"", ""onion"", ""lard"", ""water"", ""celery"", ""cold water"", ""cornstarch"", ""bean sprouts"", ""milk"", ""rice"", ""ground beef"", ""bread crumbs"", ""salt""]","[""2 lb. ground beef"", ""1/2 c. bread crumbs"", ""1 c. milk"", ""2/3 c. onion"", ""chopped"", ""1 egg"", ""1 tsp. salt"", ""1/8 tsp. pepper"", ""3 Tbsp. lard or drippings"", ""2 beef bouillon cubes"", ""3 c. hot water"", ""1/4 c. soy sauce"", ""2 c. celery"", ""cut in 1/2-inch strips"", ""3 Tbsp. cornstarch"", ""2 Tbsp. cold water"", ""2 c. bean sprouts"", ""drained"", ""1 c. mushroom stems (4 oz.)"", ""cooked rice or chow mein noodles""]"
Vegetable Beef Soup,"[""potatoes"", ""tomatoes"", ""pepper"", ""onion"", ""tomato soup"", ""water"", ""mixed vegetables"", ""celery"", ""ground beef"", ""salt""]","[""1 lb. ground beef"", ""cooked and drained"", ""1 large can tomatoes (whole)"", ""1 can tomato soup"", ""1 small onion"", ""chopped"", ""2 c. water"", ""1 pkg. frozen mixed vegetables"", ""1 c. potatoes"", ""cut up and cooked until tender"", ""1 c. diced celery"", ""1/4 tsp. salt"", ""1/4 tsp. pepper""]"
Red Cabbage,"[""bacon"", ""wine vinegar"", ""sugar"", ""currant jelly"", ""onion"", ""red cabbage"", ""cooking apples"", ""salt""]","[""3 Tbsp. bacon drippings or olive oil"", ""1 onion"", ""chopped"", ""1 large red cabbage"", ""shredded"", ""2 cooking apples"", ""chopped"", ""1/2 c. wine vinegar"", ""1 Tbsp. sugar"", ""1 tsp. salt"", ""1/2 jar currant jelly""]"
Sausage Strata,"[""bread"", ""pepper"", ""nutmeg"", ""eggs"", ""swiss cheese"", ""milk"", ""light cream"", ""sausage"", ""worcestershire sauce"", ""salt""]","[""6 slices bread (crusts removed)"", ""1 1/2 lb. sausage"", ""1 c. Swiss cheese"", ""grated"", ""4 eggs"", ""slightly beaten"", ""1 1/2 c. milk"", ""3/4 c. light cream"", ""1/2 tsp. salt"", ""dash of pepper"", ""dash of nutmeg"", ""1 tsp. Worcestershire sauce""]"
Pepperoni Spaghetti,"[""spaghetti"", ""mozzarella cheese"", ""parmesan cheese"", ""mushrooms"", ""onion"", ""ground beef"", ""green pepper"", ""pepperoni""]","[""1 large onion"", ""chopped"", ""1 green pepper"", ""chopped"", ""1 lb. ground beef"", ""1 (3 oz.) pkg. sliced pepperoni"", ""chopped"", ""1 (32 oz.) jar spaghetti sauce with mushrooms"", ""1 (12 oz.) pkg. spaghetti"", ""1 c. (4 oz.) shredded Mozzarella cheese"", ""1 Tbsp. grated Parmesan cheese""]"
Five Way Chili,"[""vinegar"", ""ground cumin"", ""salt"", ""chili powder"", ""water"", ""bay leaves"", ""ground allspice"", ""ground beef"", ""ground cinnamon"", ""worcestershire sauce"", ""tomato sauce""]","[""2 lb. ground beef"", ""3 c. water"", ""1 (15 oz.) can tomato sauce"", ""2 bay leaves"", ""1/2 tsp. salt"", ""2 tsp. ground cumin"", ""1 tsp. ground cinnamon"", ""1 tsp. Worcestershire sauce"", ""1 1/2 tsp. vinegar"", ""1 1/2 tsp. ground allspice"", ""2 Tbsp. chili powder""]"
Hot Tomatoes And Cucumbers,"[""tomatoes"", ""pepper"", ""cucumbers"", ""onion"", ""fresh dill"", ""butter"", ""salt""]","[""2 medium cucumbers"", ""cut into 1-inch pieces"", ""1 medium onion"", ""sliced and separated into rings"", ""2 Tbsp. butter or margarine"", ""4 medium tomatoes"", ""cut in wedges"", ""1/2 tsp. salt"", ""dash of pepper"", ""1 Tbsp. fresh dill or 1 tsp. dried dill""]"
Broccoli-Cauliflower Soup,"[""milk"", ""black pepper"", ""cheddar cheese"", ""onion"", ""flour"", ""chicken broth"", ""broccoli"", ""cauliflower"", ""butter""]","[""1 lb. broccoli"", ""1 lb. cauliflower"", ""chicken broth"", ""water or bouillon"", ""1/2 c. butter"", ""1 small onion"", ""diced"", ""1/2 c. flour"", ""1 qt. milk"", ""1 c. grated sharp Cheddar cheese"", ""black pepper""]"
Chicken With Tarragon,"[""tarragon"", ""chicken bouillon"", ""onion"", ""chicken breasts""]","[""4 chicken breasts"", ""skin removed"", ""1/2 c. onion"", ""chopped fine"", ""1/2 tsp. tarragon"", ""chicken bouillon""]"
Shrimp Batter,"[""egg"", ""baking powder"", ""soda"", ""cold water"", ""flour"", ""cornstarch"", ""paprika""]","[""1 c. flour"", ""1/2 tsp. cornstarch"", ""1/2 tsp. soda"", ""1/2 tsp. baking powder"", ""1 beaten egg"", ""1/2 to 1 c. cold water"", ""paprika""]"
Basic Graham Cracker Crust,"[""graham cracker crumbs"", ""sugar"", ""unsalted butter""]","[""1 1/3 c. graham cracker crumbs (about 16 whole crackers)"", ""1/4 c. sugar"", ""5 Tbsp. unsalted butter"", ""melted""]"
Reuben Casserole,"[""tomato"", ""caraway seed"", ""swiss cheese"", ""rye bread"", ""beef"", ""butter"", ""sauerkraut""]","[""1 (7 oz.) can sauerkraut"", ""drained"", ""1 small tomato"", ""sliced"", ""2 Tbsp. Thousand Island dressing"", ""1 (4 oz.) pkg. sliced corned beef"", ""cut in bite size pieces"", ""3/4 c. Swiss cheese"", ""shredded"", ""1/8 tsp. caraway seed"", ""1 c. rye bread crumbs (soft)"", ""1 Tbsp. butter or margarine""]"
Easy Chicken And Dumplings,"[""chicken soup"", ""flour"", ""margarine"", ""chicken broth"", ""milk"", ""chicken"", ""salt""]","[""1 chicken"", ""cooked and cut into small pieces"", ""1/4 stick margarine or butter"", ""2 c. chicken broth"", ""1 c. milk"", ""1 can chicken soup"", ""1 c. self-rising flour"", ""salt and pepper to taste""]"
Scalloped Oysters,"[""oyster liquid"", ""pepper"", ""oysters"", ""cracker crumbs"", ""cream"", ""butter"", ""worcestershire sauce"", ""salt""]","[""1 pt. oysters"", ""2 c. cracker crumbs (Ritz)"", ""1/2 c. melted butter"", ""1/2 tsp. salt"", ""dash of pepper"", ""3/4 c. cream"", ""1/4 c. oyster liquid"", ""1/4 tsp. Worcestershire sauce""]"
Candle Salad,"[""banana"", ""mayonnaise"", ""pineapple"", ""cherries""]","[""lettuce"", ""pineapple slices"", ""banana"", ""mayonnaise"", ""cherries""]"
Salmon Croquettes,"[""potatoes"", ""egg"", ""pepper"", ""onion"", ""pink salmon"", ""vegetable oil"", ""bread crumbs""]","[""1 (14 3/4 oz.) can pink salmon"", ""drained"", ""1 1/2 c. mashed potatoes"", ""1 small onion"", ""grated"", ""1 large egg"", ""1/2 tsp. pepper"", ""1/4 c. packaged bread crumbs"", ""3 Tbsp. vegetable oil""]"
"Croquettes(Chicken, Fish Or Meat)  ","[""egg"", ""pepper"", ""breadcrumbs"", ""croquette sauce"", ""chicken"", ""salt""]","[""2 c. chicken"", ""fish or meat"", ""1 c. croquette sauce"", ""1 egg"", ""3/4 c. breadcrumbs"", ""salt to taste"", ""pepper to taste""]"
Flossie'S Gingerbread,"[""egg"", ""sugar"", ""ginger"", ""shortening"", ""cinnamon"", ""soda"", ""molasses"", ""water"", ""flour"", ""salt""]","[""1/2 c. sugar"", ""1/2 c. shortening"", ""1 egg"", ""1 1/2 tsp. soda"", ""1 tsp. cinnamon"", ""1 tsp. ginger"", ""1/2 tsp. salt"", ""2 1/2 c. flour"", ""1 c. hot water"", ""1 c. molasses""]"
Double Baked Potatoes,"[""potatoes"", ""bacon"", ""onion"", ""ham"", ""cheese"", ""milk"", ""butter""]","[""6 medium size baking potatoes"", ""1 medium to large onion"", ""diced"", ""1 (16 oz.) pkg. bacon"", ""cooked and crumbled"", ""1 1/2 c. cooked"", ""smoked ham"", ""cut in small cubes"", ""1 1/2 c. cheese (I use part Mozzarella and part Cheddar)"", ""2 Tbsp. butter or margarine"", ""1/4 c. milk""]"
Crabmeat Au Gratin,"[""cream of shrimp soup"", ""eggs"", ""cheddar cheese"", ""celery"", ""pimentos"", ""onions"", ""faux crabmeat"", ""milk"", ""buttered bread crumbs"", ""almonds"", ""green pepper""]","[""1 can cream of shrimp soup"", ""1/2 can milk (use soup can)"", ""1 lb. faux crabmeat"", ""4 c. celery"", ""chopped"", ""1/2 c. green pepper"", ""chopped"", ""2 pimentos"", ""chopped"", ""2 Tbsp. onions"", ""chopped"", ""1/3 c. slivered almonds"", ""4 hard-cooked eggs"", ""chopped"", ""1 c. shredded sharp Cheddar cheese"", ""buttered bread crumbs""]"
Hobo Stew,"[""potatoes"", ""whole kernel corn"", ""catsup"", ""pork"", ""onion flakes"", ""barbecue sauce"", ""ground beef"", ""mustard""]","[""2 lb. ground beef"", ""1/4 c. catsup"", ""1/4 c. mustard"", ""1/4 c. barbecue sauce"", ""2 (16 oz.) cans sliced potatoes"", ""drained"", ""2 (16 oz.) cans pork and beans"", ""1 (16 oz.) can whole kernel corn"", ""drained"", ""2 Tbsp. minced onion flakes""]"
Pot Roast,"[""ginger"", ""pepper"", ""tomato paste"", ""paprika"", ""garlic"", ""chuck roast""]","[""chuck roast (5 lb. +/-"", ""blade in or out)"", ""ginger"", ""garlic salt"", ""pepper"", ""paprika"", ""1 can tomato paste""]"
Ham Cheese Oven Omelet,"[""eggs"", ""cheddar cheese"", ""onion"", ""milk"", ""beef"", ""salt""]","[""8 eggs"", ""1 c. milk"", ""1 (3 oz.) pkg. smoked"", ""sliced ham"", ""beef or corned beef"", ""torn into small pieces"", ""3 Tbsp. finely chopped onion"", ""1/2 tsp. seasoned salt"", ""1 c. Cheddar cheese""]"
Taco Casserole,"[""sour cream"", ""taco"", ""onion"", ""garlic powder"", ""tortilla chips"", ""cheese"", ""cottage cheese"", ""ground beef"", ""tomato sauce""]","[""1 lb. ground beef"", ""1 small onion"", ""chopped"", ""1/2 tsp. garlic powder"", ""1 envelope taco seasoning mix"", ""1 (8 oz.) can tomato sauce"", ""1 c. sour cream"", ""1 c. cottage cheese"", ""2 c. crushed tortilla chips"", ""2 c. shredded Cheddar or Monterey Jack cheese""]"
Southwestern Skillet,"[""tomatoes"", ""olives"", ""garlic salt"", ""chili powder"", ""cheddar cheese"", ""onion"", ""water"", ""rice"", ""ground beef"", ""green pepper"", ""salt""]","[""1 lb. ground beef"", ""1/2 c. minced onion"", ""1 (14 1/2 oz.) can tomatoes"", ""chopped"", ""3/4 c. Minute rice"", ""3 Tbsp. chopped green pepper"", ""1/2 c. sliced stuffed olives"", ""1 1/2 tsp. chili powder"", ""1/2 tsp. garlic salt"", ""1/2 tsp. salt"", ""1 c. water"", ""1 c. shredded Cheddar cheese""]"
Delicious Baked Potato Dish,"[""cheddar cheese"", ""baking potatoes"", ""butter"", ""chives"", ""whipping cream""]","[""4 large baking potatoes"", ""2 Tbsp. butter or margarine"", ""1/2 c. shredded Cheddar cheese"", ""1 c. whipping cream"", ""1 tsp. chopped chives""]"
Zucchini Pizzas,"[""fresh ground black pepper"", ""oregano"", ""mozzarella cheese"", ""parmesan cheese"", ""mushrooms"", ""onions"", ""spaghetti sauce"", ""zucchini""]","[""3/4 c. spaghetti sauce (Garden-Style)"", ""1/2 c. (2 oz.) shredded part-skim Mozzarella cheese"", ""2 Tbsp. grated Parmesan cheese"", ""2 Tbsp. minced onions"", ""1/4 tsp. fresh ground black pepper"", ""1/4 tsp. dried oregano"", ""24 (1/2-inch) slices fresh zucchini"", ""24 slices fresh mushrooms""]"
Country Style Beef And Macaroni,"[""salt"", ""onions"", ""macaroni"", ""frozen peas""]","[""8 oz. macaroni"", ""2 medium onions"", ""sliced"", ""1 pkg. (10 oz.) frozen peas"", ""cooked and drained"", ""salt and pepper""]"
Hungarian Goulash,"[""cayenne red pepper"", ""beef for stew"", ""shortening"", ""brown sugar"", ""onion"", ""water"", ""catsup"", ""cold water"", ""clove garlic"", ""flour"", ""paprika"", ""dry mustard"", ""worcestershire sauce"", ""salt""]","[""2 lb. beef for stew"", ""cubed"", ""1 medium onion"", ""sliced"", ""1 small clove garlic"", ""1/4 c. shortening"", ""1 1/2 c. water"", ""3/4 c. catsup"", ""2 Tbsp. Worcestershire sauce"", ""1 Tbsp. packed brown sugar"", ""2 tsp. salt"", ""2 tsp. paprika"", ""1/2 tsp. dry mustard"", ""dash of cayenne red pepper"", ""1/4 c. cold water"", ""2 Tbsp. flour""]"
Ham And Country Dumplings,"[""eggs"", ""ham bouillon"", ""flour"", ""cold water"", ""ham bone""]","[""ham bone"", ""ham bouillon"", ""flour"", ""2 eggs"", ""1 c. cold water""]"
