Disease,Best_Foods,Worst_Foods,Best_Nutrition,Worst_Nutrition
Duane retraction syndrome,"['bread crumbs', 'flour', 'salt']","['chicken broth', 'shredded lettuce']","['high iron', 'high vitamin c', 'low calories']","['low calcium', 'low magnesium', 'low potassium']"
X-linked intellectual disability-psychosis-macroorchidism syndrome,"['applesauce', 'boiling water', 'vinegar']","['clove garlic', 'green peppers', 'salt']","['high calcium', 'high fiber', 'high vitamin c']","['high calories', 'low protein']"
anterior segment dysgenesis 1,"['peanut oil', 'peppers']","['chicken', 'egg']","['high protein', 'low cholesterol']","['high total fats', 'low fiber']"
aniridia,"['hamburgers', 'onion']","['cream of celery soup', 'parmesan cheese']","['high potassium', 'high vitamin c']","['high carbohydrate', 'low fiber']"
autosomal recessive intellectual developmental disorder 4,"['cheddar cheese', 'salt']","['margarine', 'potatoes', 'salt']","['high iron', 'high magnesium', 'low total fats']","['high sodium', 'low potassium']"
autosomal dominant intellectual developmental disorder 71 with behavioral abnormalities,"['green onions', 'salad shrimp']","['grated cheese', 'green chilies', 'lemon juice']","['high magnesium', 'low calories', 'low cholesterol']","['high carbohydrate', 'low iron', 'low protein']"
adult fibrosarcoma,"['cauliflower', 'red onion']","['onion mushroom', 'rice', 'water']","['low calories', 'low cholesterol']","['low magnesium', 'low vitamin c']"
hypertensive encephalopathy,"['herbs', 'olive oil']","['ham', 'salt']","['high iron', 'low cholesterol']","['high carbohydrate', 'low magnesium']"
age related macular degeneration 9,"['cabbage', 'green pepper', 'sugar']","['oil', 'pepper', 'red potatoes']","['high magnesium', 'low calories']","['high total fats', 'low calcium']"
urinary system cancer,"['brown sugar', 'lean pork chops']","['oil', 'red food coloring']","['high potassium', 'high vitamin c', 'low carbohydrate']","['high sodium', 'low fiber']"
ciliary body spindle cell melanoma,"['flour', 'oil']","['egg', 'lean ground beef', 'onion']","['low calories', 'low carbohydrate', 'low cholesterol']","['low fiber', 'low potassium', 'low vitamin c']"
autism spectrum disorder,"['brown wild rice', 'green onions', 'prawns']","['green beans', 'pimentos']","['high iron', 'high vitamin c']","['high sodium', 'low potassium']"
cervix small cell carcinoma,"['cinnamon', 'ground meat', 'lasagne']","['ground beef', 'salt', 'tomatoes']","['high magnesium', 'high protein', 'low total fats']","['high sodium', 'low calcium']"
amelogenesis imperfecta,"['celery', 'onion']","['broccoli', 'durkee sauce', 'tomatoes']","['high iron', 'high protein', 'high vitamin c']","['high total fats', 'low fiber']"
autosomal recessive intellectual developmental disorder 34,"['green peppers', 'tomato paste', 'whole kernel corn']","['cereal', 'potatoes', 'soy milk']","['high calcium', 'low calories']","['high carbohydrate', 'low magnesium', 'low potassium']"
amelogenesis imperfecta type 1A,"['beef steaks', 'flour', 'mushrooms']","['red cabbage', 'torn spinach leaves']","['high calcium', 'high fiber', 'high vitamin c']","['high total fats', 'low iron', 'low magnesium']"
D-2-hydroxyglutaric aciduria 2,"['potatoes', 'thin']","['green onion', 'oil']","['high calcium', 'high fiber']","['high sodium', 'low magnesium']"
synpolydactyly,"['mustard', 'sour cream']","['cabbage', 'cider vinegar', 'water']","['low cholesterol', 'low sodium', 'low total fats']","['low calcium', 'low protein', 'low vitamin c']"
acute serous otitis media,"['salt', 'tabasco sauce']","['butter', 'lemon']","['high fiber', 'low sodium']","['high calories', 'high total fats']"
scleroperikeratitis,"['chives', 'cream cheese', 'mayonnaise']","['bell peppers', 'oil', 'onions']","['high calcium', 'high magnesium']","['high carbohydrate', 'high sodium', 'high total fats']"
autosomal recessive spinocerebellar ataxia 11,"['crackers', 'eggs', 'onion']","['celery', 'potatoes']","['high protein', 'low calories']","['low magnesium', 'low vitamin c']"
Charcot-Marie-Tooth disease axonal type 2N,"['alfredo sauce', 'onion', 'salt']","['red onion', 'romano tomatoes', 'yellow squash']","['high fiber', 'high magnesium', 'high potassium']","['high cholesterol', 'low vitamin c']"
adult-onset type II citrullinemia,"['butter', ""campbell's cream""]","['condensed cream', 'cracker crumbs', 'margarine']","['high iron', 'high magnesium']","['high carbohydrate', 'low potassium']"
pulp degeneration,"['butter', 'olive oil', 'oregano']","['beef round', 'flour']","['high magnesium', 'low calories']","['high sodium', 'low potassium']"
nephronophthisis 2,"['pepper', 'pickle relish', 'salt']","['chachere cajun', 'lemon', 'salmon']","['low calories', 'low cholesterol']","['low fiber', 'low iron', 'low magnesium']"
Mullerian aplasia and hyperandrogenism,"['apple', 'red onion', 'wine vinegar']","['brown sugar', 'cereal', 'syrup']","['high iron', 'high vitamin c']","['high cholesterol', 'low calcium']"
autosomal dominant intellectual developmental disorder 60 with seizures,"['germ', 'honey']","['almonds', 'cauliflower', 'cream of shrimp soup']","['high iron', 'high vitamin c', 'low sodium']","['high calories', 'high cholesterol']"
colonic L-cell glucagon-like peptide producing tumor,"['ground beef', 'pimentos', 'salt']","['cream cheese', 'egg', 'sugar']","['high potassium', 'high vitamin c']","['low fiber', 'low magnesium']"
glycogen storage disease IXc,"['mushrooms', 'stuffing']","['chops', 'salt']","['high fiber', 'high potassium']","['low iron', 'low vitamin c']"
autosomal recessive nonsyndromic deafness 38,"['butter', 'sugar']","['chicken', 'chicken bouillon']","['high calcium', 'high potassium', 'high protein']","['high sodium', 'low iron', 'low vitamin c']"
"3-methylglutaconic aciduria with cataracts, neurologic involvement and neutropenia","['your favorite', 'your favorite beer']","['catsup', 'clove garlic', 'worcestershire sauce']","['high magnesium', 'low cholesterol']","['low calcium', 'low fiber']"
Axenfeld-Rieger syndrome,"['carrots', 'parsley']","['eggplant', 'garlic salt', 'oregano']","['high calcium', 'high fiber', 'low sodium']","['high calories', 'high carbohydrate', 'low protein']"
hypervalinemia and hyperleucine-isoleucinemia,"['avocados', 'lemon juice']","['onion salt', 'parmesan cheese', 'refrigerator crescent rolls']","['high potassium', 'high vitamin c']","['high cholesterol', 'low protein']"
Achilles bursitis,"['salt', 'water']","['butter beans', 'green pepper', 'yellow mustard']","['high fiber', 'high magnesium', 'low total fats']","['high sodium', 'low iron']"
ocular hypertension,"['chicken', 'mushrooms', 'parmesan cheese']",['ground beef'],"['high vitamin c', 'low cholesterol']","['high calories', 'low potassium']"
"contractures, pterygia, and spondylocarpotarsal fusion syndrome 1A","['butter', 'flour', 'sugar']","['powdered milk', 'salt', 'sugar']","['high calcium', 'low sodium']","['high calories', 'high carbohydrate', 'low potassium']"
Bardet-Biedl syndrome 17,"['cornmeal', 'milk', 'whole kernel corn']","['butter', 'salt']","['high potassium', 'low calories', 'low carbohydrate']","['high sodium', 'high total fats']"
hypotrichosis 9,"['baking potatoes', 'milk', 'salt']","['eggs', 'sausage of choice']","['high calcium', 'high potassium', 'low total fats']","['high carbohydrate', 'high cholesterol']"
distal 10q deletion syndrome,"['butter', 'eggs']","['bread crumbs', 'margarine', 'tomato sauce']","['high potassium', 'low calories', 'low total fats']","['high sodium', 'low magnesium']"
spermatogenic failure 34,"['cabbages', 'onion', 'salt']","['flour', 'parsley']","['high fiber', 'low total fats']","['high calories', 'high carbohydrate', 'low calcium']"
olfactory neuroblastoma,"['macaroni', 'salt']","[""campbell's condensed golden corn soup"", 'ground beef', 'worcestershire sauce']","['high fiber', 'low carbohydrate']","['high calories', 'low iron']"
diaphragmatic eventration,"['chicken breasts', 'paprika', 'water']","['cream of mushroom soup', 'potatoes', 'water']","['high calcium', 'high vitamin c', 'low total fats']","['high calories', 'high sodium', 'low protein']"
Blessig's cysts,"['butter', 'egg noodles', 'onions']","['egg', 'herbs']","['high magnesium', 'low carbohydrate', 'low cholesterol']","['low calcium', 'low potassium']"
nutmeg liver,"['pineapple', 'soy sauce']","['crawfish tails', 'yellow rice']","['low calories', 'low cholesterol']","['high carbohydrate', 'high total fats', 'low vitamin c']"
acute tympanitis,"['green onions', 'mirin', 'oyster sauce']","['chicken breasts', 'italian dressing', 'onion']","['high calcium', 'high protein', 'low sodium']","['high cholesterol', 'low iron']"
multiple mitochondrial dysfunctions syndrome 3,"['carrot', 'fresh basil']","['celery', 'green pepper']","['high fiber', 'high vitamin c', 'low cholesterol']","['high sodium', 'high total fats', 'low iron']"
spondylocostal dysostosis 2,"['chicken broth', 'mustard']","['pink', 'white onions']","['high magnesium', 'high vitamin c', 'low calories']","['high total fats', 'low calcium', 'low protein']"
stone in bladder diverticulum,"['baking potatoes', 'bbq sauce', 'sugar']","['bread crumbs', 'butter', 'tomatoes']","['high potassium', 'low calories']","['high carbohydrate', 'high total fats', 'low calcium']"
nonmucinous bronchioloalveolar adenocarcinoma,"['onion', 'salt', 'sausage']","['green pepper', 'tomatoes']","['high calcium', 'low cholesterol']","['high calories', 'high total fats', 'low fiber']"
Bernard-Soulier syndrome,"['celery salt', 'crabmeat', 'paprika']","['sweet bell peppers', 'tomatoes']","['high magnesium', 'high protein']","['high calories', 'low iron']"
synostosis,"['broccoli', 'cornstarch', 'stalks celery']","['egg', 'ground beef']","['high vitamin c', 'low cholesterol', 'low sodium']","['high total fats', 'low magnesium', 'low potassium']"
topographical agnosia,"['fryer', 'ro-tel tomatoes']","['couscous', 'fresh oregano', 'green onions']","['high vitamin c', 'low calories']","['low potassium', 'low protein']"
elephantiasis,"['hot sauce', 'paprika', 'shrimp']","['potatoes', 'salt']","['high iron', 'high magnesium', 'high potassium']","['high cholesterol', 'low fiber']"
von Willebrand's disease,"['baby clams', 'garlic', 'parsley flakes']","['olive oil', 'white wine vinegar']","['high protein', 'low total fats']","['high calories', 'high sodium', 'low iron']"
variable age at onset electroclinical syndrome,"['chili powder', 'tomato sauce']","['garlic', 'shrimp']","['low calories', 'low cholesterol']","['high total fats', 'low iron']"
seborrheic infantile dermatitis,"['onion', 'shrimp']","['baking powder', 'butter', 'eggs']","['high fiber', 'low carbohydrate', 'low cholesterol']","['high sodium', 'low magnesium', 'low protein']"
euthyroid sick syndrome,"['flour', 'sugar']","['garlic', 'red pepper']","['high vitamin c', 'low calories']","['low calcium', 'low iron']"
mixed sleep apnea,"['all-purpose flour', 'ground nutmeg', 'olive oil']","['green', 'salt']","['high fiber', 'high protein', 'low total fats']","['low iron', 'low magnesium', 'low vitamin c']"
dilated cardiomyopathy 1KK,"['cornstarch', 'frozen broccoli']","['chicken breasts', 'grated cheese']","['high protein', 'low sodium', 'low total fats']","['low magnesium', 'low potassium']"
mitochondrial complex IV deficiency nuclear type 11,"['garlic', 'parsley', 'wine vinegar']","['cheddar cheese', 'onion', 'ro-tel']","['high fiber', 'low calories', 'low cholesterol']","['high carbohydrate', 'low magnesium']"
breast metaplastic carcinoma,"['garlic', 'pineapple']","['celery stalks', 'fresh chopped parsley', 'potatoes']","['high calcium', 'high magnesium', 'low sodium']","['low fiber', 'low potassium']"
facioscapulohumeral muscular dystrophy 3,"['butter', 'cold water', 'pepper']","['bread crumbs', 'season']","['high fiber', 'high magnesium', 'low carbohydrate']","['high cholesterol', 'high sodium']"
intravascular large B-cell lymphoma,"['bisquick', 'milk', 'parsley flakes']","['butter', 'parmesan cheese', 'sour cream']","['high calcium', 'high iron', 'low calories']","['high carbohydrate', 'high sodium', 'low protein']"
brachydactyly type A4,"['pork chops', 'potatoes']","['italian seasoning', 'sherry', 'water']","['high magnesium', 'low carbohydrate', 'low cholesterol']","['high calories', 'low calcium', 'low iron']"
supine hypotensive syndrome,"['bread rolls', 'oysters']","['doritos', 'hamburger', 'mozzarella cheese']","['high magnesium', 'low cholesterol']","['high total fats', 'low calcium', 'low vitamin c']"
progressive myoclonus epilepsy 1A,"['egg whites', 'milk', 'unflavored gelatin']","['beans', 'ground beef', 'tomato']","['high potassium', 'low sodium']","['high total fats', 'low magnesium', 'low protein']"
hereditary spastic paraplegia 85,"['fresh okra', 'lamb chunks', 'tomatoes']","['corn bread stuffing mix', 'milk']","['high vitamin c', 'low total fats']","['high calories', 'low fiber']"
hypopigmentation of eyelid,"['celery', 'water chestnuts']","['all-purpose', 'garlic powder', 'onion powder']","['low sodium', 'low total fats']","['high carbohydrate', 'low iron', 'low vitamin c']"
Silverman-Handmaker type dyssegmental dysplasia,"['garlic', 'sugar']","['beef stew mix', 'corn']","['high magnesium', 'high potassium', 'high vitamin c']","['high sodium', 'low iron', 'low protein']"
hereditary spastic paraplegia 52,"['cream of mushroom soup', 'green pepper', 'pepper']","['cucumbers', 'water']","['high calcium', 'high vitamin c', 'low calories']","['high carbohydrate', 'high cholesterol', 'low iron']"
eczema herpeticum,"['bourbon', 'brown sugar', 'catsup']","['potatoes', 'tomato juice', 'tomato sauce']","['high calcium', 'low total fats']","['high calories', 'low magnesium', 'low vitamin c']"
proteosome-associated autoinflammatory syndrome 5,"['brown sugar', 'clove garlic', 'kidney beans']","['lemon', 'vegetable oil']","['high potassium', 'high vitamin c', 'low calories']","['high carbohydrate', 'high total fats', 'low protein']"
Mayer-Rokitansky-Kuster-Hauser syndrome type 1,"['ground beef', 'onion']","['mayonnaise', 'salt', 'vinegar']","['high potassium', 'low calories']","['high sodium', 'low fiber', 'low iron']"
polyp of middle ear,"['chicken breasts', 'margarine', 'tarragon']","['butter', 'green onions', 'green peppers']","['low sodium', 'low total fats']","['high cholesterol', 'low calcium']"
serine deficiency,"['fresh lemons', 'oil', 'red pepper']","['celery', 'parsley', 'water']","['high magnesium', 'low calories', 'low total fats']","['high sodium', 'low fiber']"
